Seddelnummer;Landingsdato;Fartøy ID;Art FAO (kode);Art FAO (navn);Fangstområde (kode);Fangstområde (navn);Redskap (kode);Rundvekt (kg)
6-264644-1;08.04.2024;1975007664;COD;Torsk;07;Storegga-Frøyabanken;20;71.98
4-3020021-4;08.04.2024;1984003241;COD;Torsk;08;Eigersundbanken;22;30.15
4-3020021-5;08.04.2024;1984003241;COD;Torsk;08;Eigersundbanken;22;6.9
4-3020025-2;08.04.2024;2000013887;COD;Torsk;08;Eigersundbanken;22;7.5
4-3020025-7;08.04.2024;2000013887;COD;Torsk;08;Eigersundbanken;22;1.95
4-3020034-1;08.04.2024;1994003398;COD;Torsk;08;Eigersundbanken;22;7.5
4-3020034-7;08.04.2024;1994003398;COD;Torsk;08;Eigersundbanken;22;13.8
2-4038836-16;08.04.2024;2020115495;COD;Torsk;08;Eigersundbanken;22;13865.0
2-4038860-1;08.04.2024;1987011070;COD;Torsk;08;Eigersundbanken;22;12.39
6-12038-2;09.04.2024;2011054408;COD;Torsk;08;Eigersundbanken;51;0.0
7-7000011698593-5;08.04.2024;2001015241;HAD;Hyse;03;Øst-Finnmark;61;1659.0
7-7000011698593-6;08.04.2024;2001015241;HAD;Hyse;03;Øst-Finnmark;61;14935.0
7-7000011698601-1;08.04.2024;1999005151;HAD;Hyse;03;Øst-Finnmark;22;2.28
7-7000011698657-5;08.04.2024;2001016601;HAD;Hyse;03;Øst-Finnmark;61;258.78
7-7000011698657-6;08.04.2024;2001016601;HAD;Hyse;03;Øst-Finnmark;61;58.14
7-7000011698666-1;08.04.2024;2016072053;HAD;Hyse;03;Øst-Finnmark;61;217.74
7-7000011698666-2;08.04.2024;2016072053;HAD;Hyse;03;Øst-Finnmark;61;489.06
7-7000011698666-3;08.04.2024;2016072053;HAD;Hyse;03;Øst-Finnmark;61;380.76
7-7000011698617-2;08.04.2024;;HAD;Hyse;04;Vest-Finnmark;22;58.14
7-7000011698648-1;08.04.2024;1986010344;HAD;Hyse;04;Vest-Finnmark;22;5.6
7-7000011698648-2;08.04.2024;1986010344;HAD;Hyse;04;Vest-Finnmark;22;4.2
7-7000011698670-8;08.04.2024;1998006522;HAD;Hyse;04;Vest-Finnmark;22;53.0
7-7000011698679-2;08.04.2024;2015070854;HAD;Hyse;04;Vest-Finnmark;22;8.0
7-7000011698694-1;08.04.2024;1999002686;HAD;Hyse;04;Vest-Finnmark;61;9.0
7-7000011698699-5;08.04.2024;2003019845;HAD;Hyse;04;Vest-Finnmark;61;88.0
7-7000011698784-1;08.04.2024;1988009076;HAD;Hyse;04;Vest-Finnmark;61;3216.5
7-7000011698784-2;08.04.2024;1988009076;HAD;Hyse;04;Vest-Finnmark;61;1378.5
7-7000011698594-7;08.04.2024;2010052588;HAD;Hyse;05;Røstbanken til Malangsgrunnen;61;218.88
7-7000011698618-7;08.04.2024;1976006228;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;21.0
7-7000011698656-4;08.04.2024;1995001342;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;5.0
7-7000011698690-3;08.04.2024;1999010651;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;19.38
7-7000011698695-3;08.04.2024;2002018863;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;19.38
7-7000011698705-4;08.04.2024;2021116575;HAD;Hyse;05;Røstbanken til Malangsgrunnen;35;457.0
7-7000011698706-3;08.04.2024;2000013803;HAD;Hyse;05;Røstbanken til Malangsgrunnen;61;6852.54
7-7000011698707-3;08.04.2024;2002017061;HAD;Hyse;05;Røstbanken til Malangsgrunnen;32;2.0
7-7000011698779-2;08.04.2024;;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;21.0
7-7000011698597-6;08.04.2024;1998008880;HAD;Hyse;06;Helgelandsbanken;22;132.24
7-7000011698630-1;08.04.2024;1987005358;HAD;Hyse;06;Helgelandsbanken;22;47.6
7-7000011698633-9;08.04.2024;1996005344;HAD;Hyse;06;Helgelandsbanken;22;175.0
7-7000011698647-4;08.04.2024;;HAD;Hyse;06;Helgelandsbanken;32;1.4
7-7000011698685-2;08.04.2024;2001015483;HAD;Hyse;06;Helgelandsbanken;22;128.82
7-7000011698740-2;08.04.2024;1981006794;HAD;Hyse;06;Helgelandsbanken;22;68.6
7-7000011698762-6;08.04.2024;1987004899;HAD;Hyse;06;Helgelandsbanken;22;21.0
7-7000011698763-4;08.04.2024;2011054768;HAD;Hyse;06;Helgelandsbanken;22;18.2
7-7000011698768-5;08.04.2024;1996000812;HAD;Hyse;06;Helgelandsbanken;22;107.8
6-12033-4;08.04.2024;2001014449;HAD;Hyse;07;Storegga-Frøyabanken;20;0.0
6-264596-3;08.04.2024;2018107333;HAD;Hyse;07;Storegga-Frøyabanken;20;61.56
6-264618-3;08.04.2024;2019108973;HAD;Hyse;07;Storegga-Frøyabanken;20;285.0
6-264627-5;08.04.2024;2022121497;HAD;Hyse;07;Storegga-Frøyabanken;20;1.14
6-264633-4;08.04.2024;2000000211;HAD;Hyse;07;Storegga-Frøyabanken;20;31.92
6-264637-2;08.04.2024;1999010936;HAD;Hyse;07;Storegga-Frøyabanken;33;29.64
6-264640-7;08.04.2024;1996000076;HAD;Hyse;07;Storegga-Frøyabanken;61;43.0
6-264643-3;08.04.2024;2011054868;HAD;Hyse;07;Storegga-Frøyabanken;20;45.6
6-264644-5;08.04.2024;1975007664;HAD;Hyse;07;Storegga-Frøyabanken;20;45.6
4-3020034-2;08.04.2024;1994003398;HAD;Hyse;08;Eigersundbanken;22;74.62
2-4038836-6;08.04.2024;2020115495;HAD;Hyse;08;Eigersundbanken;22;742.14
2-4038858-2;08.04.2024;2000013360;HAD;Hyse;08;Eigersundbanken;22;11.4
2-4038860-6;08.04.2024;1987011070;HAD;Hyse;08;Eigersundbanken;22;30.78
2-4038864-4;08.04.2024;1994012673;HAD;Hyse;08;Eigersundbanken;22;30.78
2-4038868-3;08.04.2024;2003026205;HAD;Hyse;08;Eigersundbanken;22;74.1
2-4038872-3;08.04.2024;1983008437;HAD;Hyse;08;Eigersundbanken;22;18.24
2-4038884-3;08.04.2024;1987011070;HAD;Hyse;08;Eigersundbanken;22;68.4
6-12038-9;09.04.2024;2011054408;HAD;Hyse;08;Eigersundbanken;51;0.0
7-7000011698657-7;08.04.2024;2001016601;POK;Sei;03;Øst-Finnmark;61;1215.6
7-7000011698666-8;08.04.2024;2016072053;POK;Sei;03;Øst-Finnmark;61;15.0
7-7000011698848-7;08.04.2024;2015069033;POK;Sei;03;Øst-Finnmark;61;3985.2
7-7000011699046-6;08.04.2024;2003027325;POK;Sei;03;Øst-Finnmark;61;5935.0
7-7000011699093-8;08.04.2024;1988011007;POK;Sei;03;Øst-Finnmark;61;42.0
7-7000011699096-3;08.04.2024;2020112553;POK;Sei;03;Øst-Finnmark;22;33.6
7-7000011699139-6;08.04.2024;1992007451;POK;Sei;03;Øst-Finnmark;61;1079.5
7-7000011699166-5;09.04.2024;2023123954;POK;Sei;03;Øst-Finnmark;61;84.0
7-7000011698670-7;08.04.2024;1998006522;POK;Sei;04;Vest-Finnmark;22;97.0
7-7000011698699-6;08.04.2024;2003019845;POK;Sei;04;Vest-Finnmark;61;71.0
7-7000011698784-3;08.04.2024;1988009076;POK;Sei;04;Vest-Finnmark;61;1120.0
7-7000011698914-6;08.04.2024;1982011381;POK;Sei;04;Vest-Finnmark;31;7.0
7-7000011699110-5;08.04.2024;1999004234;POK;Sei;04;Vest-Finnmark;22;0.68
7-7000011699117-1;08.04.2024;1996010843;POK;Sei;04;Vest-Finnmark;22;3.0
7-7000011699128-4;08.04.2024;1991007813;POK;Sei;04;Vest-Finnmark;22;14.0
4-1128976-2;09.04.2024;1984004710;POK;Sei;04;Vest-Finnmark;22;29.7
4-1129016-1;09.04.2024;1984004710;POK;Sei;04;Vest-Finnmark;22;0.0
7-7000011698594-6;08.04.2024;2010052588;POK;Sei;05;Røstbanken til Malangsgrunnen;61;90.45
7-7000011698618-5;08.04.2024;1976006228;POK;Sei;05;Røstbanken til Malangsgrunnen;22;214.0
7-7000011698646-1;08.04.2024;;POK;Sei;05;Røstbanken til Malangsgrunnen;33;2.0
7-7000011698656-6;08.04.2024;1995001342;POK;Sei;05;Røstbanken til Malangsgrunnen;22;2.0
